$molecule
0 1
C	       53.7095870972        62.7078514099        39.1935348511
C	       48.6456680298        59.3266983032        41.3709983826
C	       50.8553314209        59.0556030273        41.6139297485
C	       52.9886856079        60.2226791382        41.5930976868
C	       47.1891822815        61.1490631104        40.7524337769
C	       47.7735443115        59.9290504456        40.4430122375
C	       48.4798660278        61.3006706238        42.7808761597
C	       51.2599754333        60.8555374146        43.1947250366
C	       52.9740257263        64.1275939941        40.8661079407
C	       47.6040878296        61.8322410583        41.8891296387
C	       53.9021530151        62.0862808228        40.3951797485
C	       47.9158210754        63.7809906006        38.4491500854
C	       46.9210510254        61.8325347900        39.5286178589
C	       50.0396308899        64.9751663208        38.3210411072
C	       50.9451942444        65.3675918579        40.5437393188
C	       51.1087036133        65.2673263550        39.1476516724
C	       47.6718254089        63.8912315369        40.6324653625
C	       49.3017234802        62.3594093323        43.2164993286
C	       50.6780967712        62.0900306702        43.4337120056
C	       51.1847000122        64.2690124512        42.4689025879
C	       51.1993789673        59.1643676758        37.4279289246
C	       49.6894378662        59.6435050964        37.4336547852
C	       51.2766342163        58.7492561340        38.8761634827
C	       49.9676399231        58.5946884155        39.4588584900
C	       51.8367118835        63.8795585632        37.5221710205
C	       49.2641258240        60.8743667603        36.9339256287
C	       53.6251487732        60.7245750427        40.4673080444
C	       48.4096336365        62.9559211731        37.4256515503
C	       47.4150199890        60.9881973267        38.5077476501
C	       50.4801597595        64.1389236450        37.3318405151
C	       52.3429107666        59.0668029785        39.7221603394
C	       48.5889739990        64.9051361084        40.2645759583
C	       49.6685218811        65.1694412231        41.1187057495
C	       51.6313781738        63.0792007446        43.0844955444
C	       48.8854217529        63.5166702271        42.6024971008
C	       52.2323646545        60.2900581360        36.9938468933
C	       51.5948371887        61.6262855530        36.6419372559
C	       53.1993904114        60.6868934631        38.0766601562
C	       52.4055976868        62.6404228210        37.1629600525
C	       51.9127082825        64.8391036987        41.3864402771
C	       49.0588302612        59.2079353333        38.6024398804
C	       53.3206939697        60.0300674438        39.3314704895
C	       53.3705825806        62.0837593079        38.0177917480
C	       52.1337928772        59.2687835693        41.0984916687
C	       52.1768569946        64.5621643066        38.6870727539
C	       50.2119293213        61.8208274841        36.6339073181
C	       48.1500244141        61.5836448669        37.4530639648
C	       49.7647132874        58.6707496643        40.7911338806
C	       47.9647636414        59.8673591614        39.1164741516
C	       49.8386573792        64.4874954224        42.3099060059
C	       49.6507987976        63.1200408936        36.9102287292
C	       53.1600570679        64.0007019043        39.5128364563
C	       49.0033874512        60.0246810913        42.5230064392
C	       50.3593940735        59.8050308228        42.7250823975
C	       52.5136070251        61.0386734009        42.5876693726
C	       53.4684295654        62.9659996033        41.4345436096
C	       47.2628211975        63.2240943909        39.4838409424
C	       48.7087059021        64.8161773682        38.8807716370
C	       52.7433128357        62.4278564453        42.5181465149
C	       47.8430824280        63.2023735046        41.7897987366
C	       51.5066566467        58.0069808960        36.5116004944
N	       52.3806953430        58.2761878967        35.6476058960
C	       52.7689437866        59.7574882507        35.6407546997
H	       52.3230094910        60.2466125488        34.7709541321
H	       53.8607635498        59.7789649963        35.5947265625
C	       50.5892868042        53.9241561890        37.7352104187
C	       51.8435096741        54.2274971008        37.2164649963
H	       52.7157936096        53.5814590454        37.2742805481
C	       52.2078437805        55.5555305481        36.9090538025
H	       53.2124404907        55.8052368164        36.5773849487
C	       51.1473846436        56.5823707581        36.8608512878
C	       49.6194000244        54.8986358643        37.7585105896
H	       48.6551933289        54.6889991760        38.2145004272
C	       49.8461303711        56.2243804932        37.2792358398
H	       49.0953330994        57.0098762512        37.3087272644
C	       50.3280677795        52.5561599731        38.2735099792
C	       51.4458770752        51.6550331116        38.3963394165
C	       52.2552146912        51.0507698059        37.4692459106
H	       52.2760314941        51.3588409424        36.4291114807
C	       53.0344047546        50.0980033875        38.0711517334
H	       53.6519889832        49.3493537903        37.5860328674
C	       52.8110504150        50.1245727539        39.4243354797
